Parameter,Coefficient,StdError,tStat
Intercept,0.38372592891888513,0.031200426349134888,12.29873991544109
Trend,0.0018049280633477451,0.0001103537841220283,16.355832993926793
El Niño,0.07362825700746198,0.012914764482212045,5.7010917317828556
d,0.5051765471911965,0.07624928516630233,6.625328304250839
