Parameter,Coefficient,StdError,tStat
Intercept,0.400003588867277,0.028908494070040303,13.836887798379852
Trend,0.0017995282658081677,9.866780784268733e-5,18.238251210336767
El Niño,0.0728663540542342,0.012033617031551123,6.055232924829235
d,0.48832165404050143,0.07624928516630233,6.4042784529121155
