Parameter,Coefficient,StdError,tStat
Intercept,0.3683593645736961,0.028313597479456807,13.009980976135678
Trend,0.0017992609619190858,0.000106551654399328,16.88627897954472
El Niño,0.07329508104378472,0.0122586232995241,5.979063003480184
d,0.4563995411288364,0.07624928516630233,5.985623866943975
