Year,Probability_15_SSP1,Probability_20_SSP1,Probability_15_SSP2,Probability_20_SSP2,Probability_15_SSP3,Probability_20_SSP3,Probability_15_SSP4,Probability_20_SSP4,Probability_15_SSP5,Probability_20_SSP5
2047,0.00147,0.0,0.08515,0.0,0.57855,7.0e-5,0.83874,0.00363,0.98285,0.10385
2048,0.00126,0.0,0.08756,0.0,0.61833,0.00012,0.86841,0.00598,0.98811,0.14417
2049,0.00112,0.0,0.09164,0.0,0.65723,0.00019,0.89428,0.00962,0.99199,0.19296
2050,0.00084,0.0,0.09477,0.0,0.69327,0.00019,0.91589,0.01504,0.9946,0.2512
2051,0.00073,0.0,0.09764,0.0,0.72639,0.00042,0.93398,0.02216,0.99622,0.3137
2052,0.0006,0.0,0.09875,0.0,0.75653,0.00072,0.94796,0.03239,0.9973,0.38048
2053,0.0005,0.0,0.09924,0.0,0.78382,0.00094,0.95953,0.04602,0.99825,0.45016
2054,0.00036,0.0,0.10002,0.0,0.80727,0.00149,0.9688,0.06312,0.9988,0.51754
2055,0.00033,0.0,0.09815,0.0,0.82741,0.0019,0.97527,0.08405,0.99919,0.58086
2056,0.00029,0.0,0.09691,0.0,0.84428,0.00272,0.98073,0.10889,0.99943,0.64015
2057,0.00018,0.0,0.09608,0.0,0.86115,0.00365,0.98527,0.13921,0.99959,0.69436
2058,0.00019,0.0,0.09475,0.0,0.87583,0.00476,0.9887,0.17287,0.99974,0.74399
2059,0.0001,0.0,0.09331,0.0,0.88955,0.00623,0.9913,0.21033,0.99981,0.78789
2060,0.0001,0.0,0.09312,0.0,0.90157,0.00772,0.99368,0.25294,0.99984,0.8266
2061,5.0e-5,0.0,0.09066,0.0,0.91253,0.00983,0.99525,0.29749,0.9999,0.85926
2062,4.0e-5,0.0,0.08946,0.0,0.92184,0.01199,0.99637,0.34547,0.99991,0.88688
2063,4.0e-5,0.0,0.08725,0.0,0.93143,0.01497,0.99725,0.39407,0.99993,0.90962
2064,2.0e-5,0.0,0.08447,0.0,0.93896,0.01847,0.99798,0.44457,0.99996,0.92763
2065,2.0e-5,0.0,0.08189,0.0,0.94471,0.0224,0.99854,0.4924,0.99994,0.94349
2066,3.0e-5,0.0,0.0782,0.0,0.95019,0.02644,0.99888,0.53853,0.99997,0.95613
2067,2.0e-5,0.0,0.07382,0.0,0.95534,0.03021,0.99918,0.58343,0.99998,0.96587
2068,2.0e-5,0.0,0.06933,0.0,0.96004,0.03481,0.99937,0.62729,0.99999,0.97348
2069,1.0e-5,0.0,0.06543,0.0,0.9639,0.04061,0.99954,0.66933,0.99999,0.97903
2070,1.0e-5,0.0,0.06192,0.0,0.96785,0.04698,0.99965,0.70881,0.99999,0.98429
2071,1.0e-5,0.0,0.05954,0.0,0.97175,0.05412,0.99977,0.74765,0.99999,0.98824
2072,2.0e-5,0.0,0.05591,0.0,0.97457,0.06218,0.99981,0.78194,0.99999,0.99101
2073,1.0e-5,0.0,0.05256,0.0,0.97714,0.06996,0.99985,0.81266,0.99999,0.99313
2074,1.0e-5,0.0,0.0494,0.0,0.97925,0.07927,0.99992,0.8383,1.0,0.9948
2075,0.0,0.0,0.04515,0.0,0.98137,0.08805,0.99997,0.86225,1.0,0.99618
