Lag,Specification,Temperature,ERF,Residuals
0,none,0.9076879283607815,0.8537680662915619,0.0
1,none,0.9485005930204251,0.7711844152201965,0.0
2,none,0.9963482998717978,0.9329475477999258,0.0
3,none,0.9977587974756513,0.9547179230535199,0.0
0,constant,0.8696607468409889,0.7954929176688466,0.009318413297369247
1,constant,0.950968984286279,0.6482665337040561,0.0070603011812511475
2,constant,0.9761471261155222,0.8289941139913777,0.07392418780110406
3,constant,0.9892589797075683,0.7794820486233,0.43611521570778866
