Test,Statistic,p-value
Shapiro-Wilk Normality Test,0.9680941172873028,0.2466323824752174
Durbin-Watson Test,1.2776281123913948,0.007419831869262991
Ljung-Box Test (4 lags),7.188786575723105,0.0073360573696716865
Breusch-Pagan Test,4.80212813316742,0.02842460496020257
R-squared,0.8034326185228233,NaN
