Test,Statistic,p-value
Shapiro-Wilk Normality Test,0.9965508643409838,0.3138870138350326
Durbin-Watson Test,2.126232295920287,0.17049038065683741
Ljung-Box Test (7 lags),15.83645993746652,0.0032466471028490063
Breusch-Pagan Test,2.0386693161814593,0.3608349389308086
R-squared,0.8136019748541446,NaN
