Test,Statistic,p-value
Shapiro-Wilk Normality Test,0.9967731089030722,0.3728415577574284
Durbin-Watson Test,2.0338981298333976,0.7597526699646582
Ljung-Box Test (7 lags),10.41276270092156,0.03402011411566542
Breusch-Pagan Test,1.057078301659895,0.5894654611308809
R-squared,0.8361658191331266,NaN
