Term,Estimate,StdError,tStat,CI_lower,CI_upper
Intercept,0.2872470094275539,0.0760004783378979,3.779542125385771,0.138286071885274,0.4362079469698338
ERF,0.301174640874718,0.037580665390507605,8.014084842435782,0.2275165367093231,0.37483274504011294
