Test,Statistic,p-value
Shapiro-Wilk Normality Test,0.9980152005891598,0.8014996708115185
Durbin-Watson Test,2.0198245535131174,0.8858913217771465
Ljung-Box Test (7 lags),15.469332272166945,0.003820528884044967
Breusch-Pagan Test,3.039231121599318,0.21879598453930854
R-squared,0.8282306917942281,NaN
